Symulacja
Labirynt:;labirynt 20x20.txt;Ilosc iteracji:;1000
hamsters;hamsters;gerbils;gerbils;mousedeer;mousedeer;mice;mice;rats;rats;
-129;602;-6;-39;-204;80;-110;142;-84;-155;
223;-12;-439;-77;-87;-55;-113;-11;-78;6;
-92;-97;-634;-262;100;491;0;-57;26;-33;
255;6;-11;-108;-46;-28;-52;-366;-83;26;
918;-59;-338;-108;3;0;37;-80;-30;-78;
-256;-150;-167;-166;-299;0;6;-149;-219;207;
-51;101;-0;21;-338;83;239;-82;-86;94;
10;-210;-280;-293;-123;704;-1;-3;-2;-116;
-440;40;18;-14;416;-19;16;-25;61;20;
-75;-131;-55;-21;-684;-639;27;-36;-0;681;
57;97;-77;-596;-73;123;-85;59;214;591;
195;-112;0;-167;-35;-161;-721;-74;-79;-73;
-60;151;70;10;965;68;81;-149;369;579;
-74;-122;-111;-121;35;-222;-30;-24;52;-19;
-23;-46;21;-141;502;-21;414;-170;-6;-292;
-346;249;-994;-993;-726;30;-58;-265;34;-2;
115;87;-207;-50;0;-434;136;22;-11;-459;
-68;212;-132;-152;-254;-321;-70;-379;-422;-29;
-16;-61;-6;-81;0;366;-90;-310;-110;82;
153;-535;-18;-131;33;-41;-97;8;-250;530;
-177;-69;-230;-27;-350;0;-98;8;-352;-2;
30;244;28;10;-686;-218;-0;624;-217;-219;
-19;195;39;-11;-239;-887;-242;247;-49;-54;
117;603;-84;-246;-199;-421;-42;427;5;607;
-30;93;0;0;0;6;0;-61;-12;399;
-10;14;-872;-25;65;-490;-77;425;-97;-133;
767;144;21;-567;53;-485;-66;-301;66;-2;
-300;-12;-586;0;-1;0;112;-502;-113;25;
83;-231;-9;-100;-290;-99;-10;175;-301;-314;
-112;-70;-28;-85;-500;-282;-22;-211;-204;-314;
13;33;137;-742;-219;-239;158;11;2;41;
46;293;-439;-483;-34;-404;-105;228;-292;-126;
0;184;-18;-10;-19;110;-419;63;508;542;
-193;429;173;-672;-241;-410;-13;-154;-202;-491;
-82;-9;-208;-31;-628;-215;-127;-13;-87;35;
-11;19;17;-55;11;-51;-144;-23;14;519;
239;-75;-32;-120;35;75;163;-3;-15;-201;
92;-74;-135;-226;-39;-50;-20;-680;-37;-75;
-114;-57;-226;-223;-617;-64;235;-91;-227;-489;
-51;33;34;62;0;-321;-594;-450;-289;-7;
33;82;-61;-8;-27;-381;-26;407;436;-195;
80;-120;-70;-222;-76;-71;-37;183;487;-353;
-135;209;-402;-97;-874;0;14;-145;-222;15;
16;-733;-657;-579;-22;-661;69;0;-736;-21;
-55;-112;-262;-9;-80;-57;-65;995;274;410;
-37;-447;-372;-153;-125;-126;29;-6;-283;-160;
-34;-157;-492;20;-70;-310;21;14;15;0;
-49;174;-414;26;0;0;-121;81;670;-0;
-242;-837;-154;-175;-87;-100;478;-199;-97;-14;
145;-244;16;-2;3;0;-137;47;-64;25;
19;-7;-60;-135;331;20;-566;-567;-46;-40;
299;35;-824;26;-61;-100;-168;0;273;-12;
-74;-470;-194;-12;-352;36;-81;-96;-16;-68;
-180;-147;-873;-99;-273;-4;-241;36;454;388;
551;31;-18;-50;-17;-686;5;32;-24;729;
34;83;0;-121;-211;-120;-110;-8;-4;-267;
-46;-16;-50;74;-49;0;-27;75;-340;223;
-32;617;-250;-85;-570;233;-231;75;-139;-260;
-393;302;-32;-45;422;-270;-75;41;-4;528;
497;-27;-92;-137;0;0;-19;-95;262;657;
-279;-24;2;-27;-70;-26;-105;-50;-61;92;
184;-37;28;-837;-426;-425;0;-265;191;-1;
-212;-16;16;14;-40;-373;0;-204;-398;-9;
183;188;-20;-256;0;-159;0;-2;-106;13;
-125;-5;-121;-16;-602;-300;-439;439;551;28;
-81;877;144;-42;-175;0;0;83;-79;103;
103;364;-359;-1;-202;0;-39;157;-687;-38;
-189;304;8;-26;-0;-599;-181;-184;119;-27;
102;-147;-405;-233;-144;-48;187;0;-51;-41;
-246;-0;-376;-375;-960;204;22;8;-187;104;
-93;18;-108;-80;-112;-945;-63;-163;-92;-218;
-102;-95;29;-112;-12;-248;-115;-94;205;-285;
-81;-391;-69;-145;-293;82;-26;-29;-110;253;
-760;-216;-83;-334;435;-155;-308;52;493;100;
-31;-10;-48;-427;-464;220;-187;186;168;-54;
149;-101;-188;-250;-56;-13;-176;91;21;167;
7;-189;23;-311;-267;-345;250;128;-278;120;
-5;-200;-683;-248;-139;227;-170;146;209;-147;
-28;267;7;-143;-60;0;-701;-136;27;-79;
48;49;0;-15;0;199;0;0;181;182;
-121;19;-181;-44;-16;0;153;-765;-248;575;
99;-0;37;-187;-457;-464;117;-665;-411;-192;
-74;-355;-488;-196;-366;-6;2;0;72;-72;
115;244;-290;-325;3;-320;-191;-186;-133;-289;
-50;65;-122;-472;-352;-246;-2;-338;25;-750;
-136;-260;69;-492;-23;-259;1;-6;-44;-82;
56;374;-817;-139;-170;50;-142;-255;488;-55;
75;420;-49;-60;-87;-82;-363;522;244;-71;
382;-84;-184;-453;-189;40;-203;113;192;-334;
69;-212;-76;-20;-104;-26;0;-19;163;112;
-124;-134;-8;-7;-425;-1;-108;449;-13;-97;
22;818;-258;20;-648;-581;-511;-206;-136;-333;
-226;349;-25;-28;-2;12;-24;-120;-3;-123;
-11;-142;0;47;-295;28;164;6;-285;-61;
397;60;-182;-181;-448;157;1;-217;-802;-167;
133;-44;-726;-119;-258;-1;-2;272;0;-30;
72;438;-151;-271;228;-120;-53;-205;600;-399;
165;-111;-27;-100;88;-372;-389;-301;-146;240;
-216;29;-4;181;-344;-303;134;-323;25;135;
76;-249;-253;-77;-64;-698;-211;-299;-94;340;
69;-17;-433;-435;-103;-432;-14;-242;-163;-69;
-166;178;-97;-131;-94;-211;-98;-533;23;-891;
-55;490;-32;-31;46;-57;28;60;-58;-38;
676;-10;-58;-42;0;-469;59;-596;140;-71;
-66;354;-738;-757;-77;-29;0;-144;-138;-28;
-46;-298;221;-470;33;-175;389;-214;151;-68;
12;-624;46;0;-47;-77;130;366;347;-113;
45;60;-160;-40;0;-9;139;-265;414;-237;
34;-243;-131;35;0;-316;-147;297;-293;-146;
-309;-10;122;-748;0;-61;295;120;-331;41;
-180;-133;-822;-1;-568;-80;-6;266;-989;-626;
282;-28;-72;42;-149;32;-7;60;-6;-134;
12;-86;-744;95;0;-708;-160;304;-511;-299;
259;-56;-23;15;-296;728;-5;105;191;67;
-59;171;13;-196;-136;-467;0;-78;-86;-11;
139;34;-232;85;398;78;80;-121;-113;570;
-80;27;-757;-59;0;-8;-4;-41;170;460;
-85;-33;-157;-45;0;-455;170;-227;-145;-498;
-326;55;-132;-158;-95;-13;-368;-131;-710;-31;
12;-9;-1;-104;0;-132;-46;166;-91;-165;
-182;741;-308;-281;-28;-914;185;186;-119;146;
-183;-54;-239;-95;-274;-240;-18;-88;-428;-65;
-3;20;-364;47;-14;-240;-207;0;-79;-25;
-148;139;-248;157;-23;-668;84;-130;349;-19;
301;26;-23;-7;-331;-30;-29;218;202;-10;
-204;-100;-193;-371;-177;-662;-99;14;-288;-203;
-186;-594;0;-94;65;-479;15;-20;-138;-137;
25;-21;-180;-368;-345;0;235;-32;-270;34;
62;7;15;-588;-346;-2;-189;188;96;0;
118;25;0;-138;183;-196;119;206;-440;-36;
-490;73;82;-282;-128;-101;-336;27;-5;635;
-126;-13;-14;-836;241;-430;2;164;242;224;
227;10;11;-556;-265;0;-72;-447;381;-555;
-428;-157;-376;-389;-888;-153;69;-556;218;-874;
-20;139;-108;0;22;-40;140;1;-19;-2;
-197;-94;-107;167;0;-52;-57;-64;122;-499;
-8;888;-46;0;-475;-515;-123;323;321;-146;
-14;-208;-87;-65;-141;-66;216;9;202;68;
-7;194;-479;-431;0;-12;-66;-6;-21;104;
-416;-253;36;37;110;-141;214;111;-454;212;
-47;0;-627;-0;-751;-386;-589;123;-677;-139;
-214;-268;-555;-740;-433;21;-432;9;488;236;
40;-203;-40;-847;-651;33;-150;-116;-2;138;
296;-327;-34;-55;-29;-42;-22;0;-71;4;
24;-8;-4;18;-459;-523;-156;-308;-53;148;
83;-170;-529;-3;0;0;-33;-83;47;-114;
4;-83;-77;-202;-695;67;-283;-42;-381;-2;
16;168;-334;14;-200;-28;-53;-442;-132;-58;
-188;89;0;-72;531;-293;-242;23;10;-119;
-111;601;-335;-309;156;-985;63;-47;-232;-24;
-297;-333;-229;-17;-133;-579;281;297;279;-241;
-164;71;-144;-255;-19;44;-39;159;-143;163;
-379;-32;-393;19;-186;-417;153;-46;5;-16;
141;-78;-263;-217;-212;-225;-44;970;-378;-114;
137;-62;-318;-8;132;-295;-19;0;-221;49;
-41;181;111;-460;-476;-51;5;-273;-13;15;
110;88;-616;-622;-116;-232;-64;14;-192;92;
-247;-124;-240;-58;-350;-72;-123;-135;4;-8;
-64;129;-18;-40;-202;-10;-65;-115;27;-85;
27;-63;-354;-515;-141;0;-227;29;-556;58;
-13;320;-6;-111;0;-623;-14;-385;15;151;
-51;-156;5;-394;-124;-12;6;-196;104;118;
175;-166;-150;-161;-14;-162;265;-22;-436;621;
-211;-25;-210;-222;-360;-342;14;-9;-110;-356;
-116;-213;-613;-303;71;-208;-212;-358;-11;159;
118;-276;-144;-50;-26;-10;6;89;-206;748;
-169;-11;-83;-248;-170;0;-22;148;-200;5;
-8;-31;-180;-173;-184;-23;236;429;34;-142;
393;-598;-91;-279;-200;80;-252;78;1;-221;
-23;-22;4;-845;-346;28;-18;29;-102;-191;
-17;0;-824;-0;15;-549;487;619;-387;-215;
-248;-0;-441;-119;-23;-25;203;204;-159;-289;
340;-124;-203;-5;-39;-160;37;3;-79;-439;
182;-13;8;-17;0;0;0;-12;-70;6;
-95;0;-201;-11;-12;0;-97;-140;-88;39;
6;-116;-525;3;-352;-53;18;-123;-156;-38;
-54;-206;5;-451;-93;0;287;-69;-13;-68;
-86;-269;-534;-682;372;1;36;164;51;474;
259;34;-6;-153;-78;-111;-50;-498;-144;-275;
141;919;-57;-459;-2;-774;-699;-287;-39;67;
-35;-592;-276;-25;112;-126;-108;18;-236;9;
-669;-257;21;-972;7;-285;77;8;-282;114;
-128;-2;-323;35;-249;0;5;-413;-134;222;
-191;2;-365;-366;5;146;-250;-194;64;0;
124;-397;-404;32;-262;-28;-4;-81;-12;-217;
10;135;-190;0;1;0;-675;-341;184;-232;
-16;-30;0;-17;-29;-471;8;-21;-14;-135;
-810;116;3;-239;-498;40;-74;88;66;-125;
-206;30;-0;-192;-623;-300;59;-82;-18;111;
-803;-23;-495;-219;-32;-60;-193;-119;-494;41;
-289;-362;98;15;-157;459;790;-59;-245;340;
44;-519;-211;-226;750;548;3;188;-72;-167;
-191;-74;-96;-10;212;-283;253;0;275;-62;
-17;-194;-442;-549;-92;-133;-36;-400;-19;25;
-6;-336;-94;130;-167;-720;-51;-512;-33;-103;
-123;-143;-121;-79;69;65;-122;-55;-166;-621;
-117;39;-43;37;-200;-603;-124;-36;776;-185;
-28;49;-124;-102;-80;-379;-98;-100;-101;-97;
36;125;-352;-369;-144;661;-83;13;-96;-97;
-31;-121;-676;-70;-193;-141;-61;-30;-197;-198;
314;-176;-145;64;-13;-55;-990;-991;-70;-86;
-9;289;-411;-67;3;-99;-125;215;-61;255;
-169;0;-0;-29;0;-484;-181;-47;-54;348;
-331;-205;-410;-230;235;-411;0;377;375;-39;
44;-344;-35;-976;104;-22;383;-109;-121;-125;
0;211;-293;-292;-6;-161;-45;78;41;-69;
-596;278;-316;-338;150;-305;105;40;241;-77;
1;-142;-34;-12;-145;-111;0;-69;-117;-9;
-331;-14;-251;-99;-241;-169;48;-238;-139;-136;
-78;666;-296;-295;4;-60;112;-609;-712;-118;
-507;-60;0;-807;0;-18;-86;209;104;43;
-21;-337;-114;-34;-431;-19;0;-407;-428;143;
-253;-34;39;-126;-30;-690;0;388;121;16;
26;348;-143;-104;-25;-34;144;54;45;-9;
-14;108;-9;0;-46;-99;-595;6;-273;2;
-500;188;-110;-47;-946;-690;-232;-350;24;16;
-10;-90;-98;-106;-89;-518;-24;21;12;-11;
212;165;47;166;620;535;45;245;88;484;
-55;-573;-134;-540;-593;-149;-994;-227;110;-24;
-23;-107;-35;-50;-62;-858;307;139;-95;403;
-210;-215;-301;50;-69;-32;-599;-940;-309;-133;
-151;-30;-157;15;-36;-491;-34;0;-38;-31;
947;-2;61;38;98;-306;-308;185;-31;174;
16;14;-483;-492;170;-412;116;542;-30;84;
-267;-8;-416;-5;-340;17;-88;-415;114;-40;
-841;-303;-792;-815;-334;348;-261;-492;-342;233;
-272;-122;-26;-260;300;-32;-183;162;213;-348;
-33;-330;0;0;-4;-894;115;53;-166;54;
100;111;-6;-806;-3;-489;-776;-19;-9;-181;
-110;-13;-37;-194;-15;0;137;99;19;-90;
21;14;-136;-243;-446;-247;38;-606;67;-813;
-249;-86;-283;-351;-348;323;-64;143;-8;254;
-35;-175;19;-527;-147;-0;9;-32;7;-568;
-48;-247;26;-12;-21;-579;95;-108;5;254;
-411;-130;-84;15;-94;-42;0;-412;-60;-87;
177;-357;-262;18;97;0;19;-41;-80;-62;
-17;19;-169;-412;-361;-130;-261;-101;10;124;
-63;0;17;0;-573;-354;-380;-128;-62;-332;
124;589;-513;145;-76;-83;-20;-117;-156;0;
-83;-0;-30;-17;377;-445;-31;-527;-27;-39;
0;231;-2;-137;368;-746;139;89;-76;-35;
-128;873;-141;-140;199;128;-134;0;27;77;
741;-108;68;-274;63;-598;66;91;21;-245;
-396;109;-209;-77;277;-98;13;32;-153;114;
-52;-11;3;16;-55;-57;185;112;-166;-62;
126;151;-218;-349;212;-647;-202;-50;-87;39;
35;-13;-43;-42;-112;33;-483;-142;-31;-479;
-15;-268;-19;-284;616;-450;-76;-112;37;194;
-223;-331;-181;-145;-173;-158;8;0;-20;30;
66;25;-8;-25;-76;23;-43;-26;-518;109;
2;-34;-948;-501;-590;-247;-461;89;-82;-164;
-66;-178;-224;-223;-83;-177;-114;694;-47;-103;
-205;61;-175;-51;-58;-38;-204;74;-242;-53;
-241;-294;-21;-238;-134;-827;97;202;-36;-24;
253;-190;-189;-193;-192;-157;1;-188;59;-101;
867;354;-105;-71;-86;-147;-123;119;-72;456;
354;-65;-79;-55;-123;-6;-146;-104;-127;37;
567;150;-876;-300;656;-146;-35;-301;26;-75;
314;5;0;-56;566;-27;238;-254;-61;-55;
-236;-327;-3;-123;-119;-324;-16;154;55;304;
-47;-39;37;-807;-9;334;-77;-23;-173;-76;
428;302;-210;-93;-238;-325;-41;-96;-506;343;
20;-87;-42;15;-438;-46;-740;105;-10;103;
-109;-418;-2;23;-451;-300;7;-37;-19;-38;
615;-16;-775;36;-33;-338;-107;-1;-47;77;
-33;431;-435;-841;-398;-99;76;-91;-77;-164;
-128;-0;0;-443;-56;-305;-140;-47;-32;-186;
34;-351;-86;-84;89;-365;-87;-27;438;-81;
20;2;-867;-33;-97;33;205;-207;34;-96;
67;186;47;68;-15;-364;-165;97;-270;-183;
70;-416;-192;6;-661;28;-382;-5;-218;-292;
26;-180;12;-192;-434;-36;-377;58;509;-8;
-157;94;64;-12;51;-64;-834;-76;15;-5;
-69;-328;-37;44;2;-93;-105;-58;152;-36;
470;-37;-171;-81;-139;-499;-54;-36;-544;-27;
705;-424;-930;-333;-110;-2;-35;70;18;771;
-9;39;-123;581;220;-792;-426;-11;303;82;
-603;242;-210;163;-235;-204;-139;-9;542;-282;
341;194;63;-497;-126;0;-981;-19;-6;-0;
94;29;-175;-149;-28;63;-43;0;30;329;
-119;-118;17;-51;-9;10;-191;-56;-22;-16;
175;-156;0;-1;51;-233;222;80;-117;-232;
10;-473;-563;-39;-289;-457;-159;-214;-167;-121;
765;-164;-246;-8;-791;0;87;-10;81;544;
88;393;-124;38;-71;71;-155;-5;-419;-39;
-44;22;-193;-9;-5;-266;-13;19;-50;120;
-127;-44;13;8;-20;-427;107;228;-66;-4;
24;40;-19;-32;-43;4;-104;-246;-28;-201;
-4;-34;-60;-425;-720;429;-39;-33;-179;-202;
20;-165;-70;-69;-5;-232;-119;-192;-72;-97;
-8;-16;-490;-505;-71;-253;36;-58;-70;-72;
-207;-131;-113;-112;0;-100;-96;192;-828;166;
-157;-96;-281;-280;-107;-118;-57;-93;-49;-206;
102;175;-271;-293;-147;-11;-203;130;-146;-118;
19;-30;634;-197;-719;-431;0;0;-359;-489;
-328;54;18;0;-2;-105;-141;-215;-3;305;
-8;104;0;-89;-674;-194;-15;-14;-2;-106;
167;-6;0;-338;-848;-77;75;-49;-116;504;
-68;-57;-468;81;-20;-337;218;-67;-343;410;
-230;-28;-293;-168;203;-296;7;133;-175;-1;
-37;-14;-10;-15;-512;19;0;-85;93;-51;
-395;43;-91;-193;-1;-107;37;159;-79;-56;
-276;330;26;-0;-216;685;287;-69;-140;-434;
-21;-180;14;-36;-738;-348;-263;53;-179;0;
-397;-284;0;-54;-40;-138;-9;455;166;-2;
-53;-501;-36;-601;-284;0;-89;-92;-19;6;
-84;194;-160;-175;-185;-16;-29;-943;-191;-165;
-347;-15;-230;-42;0;-153;-301;-172;-126;-11;
-8;-159;-96;-269;-56;-575;-480;-0;-171;83;
101;-469;-45;32;-49;64;219;-161;18;79;
-251;-9;-143;-140;-89;-5;-869;-868;-95;162;
-34;-89;-6;-373;-1;-110;25;-73;-72;-178;
-29;-63;-492;12;135;-107;-13;-284;-21;-42;
-187;4;-225;-232;349;-28;-31;-622;-370;9;
97;-235;-69;5;-44;0;-89;232;-248;95;
-27;201;-120;-399;-160;-0;231;95;-4;-126;
-91;-308;-150;-129;-130;-599;171;-205;-149;-2;
50;-41;-129;-675;-195;-789;-185;-194;82;-716;
-11;82;-24;-211;-832;-739;56;194;-303;-23;
-29;223;-744;38;-278;36;-121;-127;-203;72;
-13;83;-0;-12;-240;-92;183;113;81;23;
-238;-39;-735;-124;37;-148;-561;-568;54;-66;
-12;-95;-226;-106;-256;-456;259;-120;-150;-124;
-161;623;0;0;-509;257;297;378;-134;182;
-64;0;-205;-204;-399;-165;-1;-18;-326;-106;
-488;113;-251;-163;-75;-282;-34;-47;-46;-87;
41;-126;39;0;-96;0;-150;-51;-65;-146;
2;-6;12;-0;-130;-102;75;-131;-4;-17;
186;-131;-453;-579;0;-342;8;656;-3;756;
-130;-19;-300;-33;-177;0;-140;-494;49;339;
111;-15;-710;74;-117;-138;86;392;-137;64;
0;-2;-290;-36;78;-182;-87;-64;-31;-11;
507;-190;-129;-139;-218;15;-261;-107;-140;106;
-103;1;-70;-75;23;-72;-50;85;-246;-197;
-241;-122;-375;-351;-113;-99;-492;103;-81;0;
-202;-142;-664;-670;125;-961;-184;304;-140;-102;
-9;-97;-8;27;-6;-303;-71;-133;-161;-119;
-102;-388;100;38;20;206;378;-176;-37;-121;
290;126;-141;-153;62;-75;73;0;402;-14;
-145;-95;-103;-146;-12;-56;-57;-312;-3;-7;
-19;-787;-32;-350;-687;-709;157;-230;-46;24;
361;-90;-755;-46;169;111;-197;-146;-143;273;
451;-105;-5;4;-821;-861;-137;-104;-55;-54;
-553;-45;-540;-222;379;-77;342;-5;0;-43;
-169;122;-9;18;-40;-167;-228;-227;-279;-315;
137;-23;-343;-652;331;-349;-332;-24;54;0;
-251;46;-95;-331;-357;-247;160;5;-16;-217;
-280;-231;-0;-300;-156;-241;-46;-50;-130;-147;
-449;-148;-271;-55;-177;-197;-28;-54;-155;-84;
-96;-39;-147;-13;-231;-998;-272;-271;9;431;
-238;-16;-17;-56;0;-723;-237;-64;98;101;
-16;203;-40;-36;-35;-115;-1;-601;-15;134;
-19;-18;3;-138;-541;-437;304;-81;-2;-80;
-60;79;-21;-33;-11;-32;2;-142;-59;37;
389;366;31;-46;-254;-197;29;-30;-174;144;
-55;-371;-324;-342;-277;124;-221;0;-197;169;
-84;-4;-36;0;36;-23;307;-181;-270;-83;
7;591;-101;10;20;5;-47;13;21;139;
24;-397;-17;-251;47;0;-459;-480;25;-236;
-207;-85;38;-251;-14;-62;12;-956;50;13;
-19;-226;-212;0;-264;-213;-137;-27;2;4;
145;266;-150;-109;0;-986;-176;302;-179;-134;
124;24;4;-17;-10;55;178;-62;0;19;
-387;-358;-809;1;-251;-232;0;-501;-29;0;
126;43;-310;-306;-43;-194;-113;-305;-468;-52;
-96;274;-471;-481;-306;0;-607;-111;53;-115;
64;166;9;-466;37;-244;-52;-117;-457;-75;
-140;-96;-5;40;271;-143;-78;112;126;-280;
-7;739;16;-745;-268;-102;88;-20;342;0;
-246;-17;146;-400;-300;-687;-109;-57;3;96;
39;293;62;-30;-19;0;-195;-45;-55;43;
-107;23;-171;-136;136;21;166;164;-125;87;
-116;-158;-10;0;-222;-19;132;108;-86;494;
-148;-318;-793;6;-319;152;105;-313;-215;-214;
-5;-97;-116;-944;-519;-126;60;-3;-221;624;
148;428;62;-763;-182;122;143;204;123;-373;
388;14;-329;-518;-638;-238;389;-2;-5;10;
6;-50;-212;-69;-6;-175;-229;0;362;-348;
-16;16;58;-412;-141;393;28;-50;-332;243;
-163;-9;-199;-71;-55;-7;72;-33;157;29;
-531;-147;-388;-49;-8;21;-29;-7;22;-214;
-6;-75;19;-461;-89;0;200;-52;-343;227;
-27;425;-30;-26;-114;-79;193;-66;124;194;
-56;304;-111;-113;14;-95;-58;18;-192;15;
-99;-247;-349;-348;-0;-58;-52;-22;159;53;
-40;46;-43;-11;-23;-122;6;85;-45;-93;
-78;-319;-2;-159;-194;-316;-151;19;103;98;
-131;-69;-52;-22;-125;-259;108;135;54;-109;
-184;-0;-89;0;-59;-49;-546;444;-88;-33;
-82;-36;-254;-269;-79;-13;883;-50;-270;107;
-316;17;-195;-54;0;-901;-196;-38;-528;-16;
-49;70;-25;-433;-142;-89;-403;-155;-300;322;
228;-38;-51;-50;-248;-168;60;430;28;-170;
486;-140;0;-33;-12;5;-246;-8;368;-112;
143;-193;-168;-164;-269;-2;-12;128;112;483;
13;53;-444;-5;-976;-68;-69;-11;-376;177;
298;-92;35;-133;-432;651;361;-62;105;61;
88;378;29;-4;-107;-51;0;-108;-345;0;
-23;16;17;-54;-21;-576;-41;-5;-123;-120;
-427;-491;-1;-476;-492;-76;423;57;381;-248;
41;-11;-97;-83;-997;-665;17;-827;38;212;
-246;-112;166;-812;-85;-354;-111;-247;-97;-73;
-14;-28;-33;-573;-80;714;72;-94;-115;109;
531;65;-658;63;0;-169;-428;-170;-130;76;
-90;19;-0;39;-174;-113;-7;203;98;-144;
-197;-145;0;-12;-32;-138;5;9;10;-58;
0;-81;163;26;-354;-338;-15;-189;-27;-10;
-77;10;0;39;-29;-289;213;-973;149;-476;
15;-26;-160;-67;384;-115;-68;254;16;-78;
-454;15;18;-60;-59;-459;-412;-524;-61;42;
1;-107;-140;-1;-7;-791;110;-704;-221;159;
73;422;95;-181;-280;-59;-224;29;-180;288;
19;-68;-587;-135;-106;72;168;-107;-57;-91;
104;-34;-17;-175;-819;-468;171;-92;-377;-42;
13;-16;-228;2;44;343;-332;167;-9;14;
-23;15;-443;-42;-22;-425;-364;148;181;-130;
-18;-157;-650;-404;-113;-220;-66;27;-103;95;
151;29;-15;-5;577;0;931;-41;112;-276;
170;-248;-360;-9;-315;-281;82;-113;-114;0;
-186;-80;-737;-105;0;163;135;-45;17;361;
-3;-163;-169;-189;-2;-773;-239;-141;-46;-501;
-11;-30;-12;-686;-162;-317;-396;-515;-303;-31;
-144;-10;-353;-35;746;-291;-173;-143;52;246;
-51;135;-64;-13;0;121;100;-57;-12;180;
139;6;17;-77;-20;-225;-132;151;-921;-98;
593;287;-320;-339;-716;27;69;-164;-110;28;
292;-372;-959;15;-465;-389;-228;-50;-58;127;
-94;-228;-74;-149;-141;-156;-134;106;-208;21;
-119;478;-70;-148;-371;-129;-88;-154;102;-19;
345;-152;1;31;65;-224;32;-120;19;-33;
-333;-30;-58;-380;-213;-381;-137;-142;28;-73;
-52;13;17;-445;-82;-237;35;-444;-61;-18;
177;-488;-14;79;-422;29;-813;173;131;85;
107;-11;-521;-0;-855;-205;91;258;-24;509;
-72;363;89;-228;-78;-196;-79;-6;-18;-88;
-13;378;-749;-57;-59;-26;105;-11;154;-675;
-67;125;-18;-627;-41;-237;-45;146;-78;-33;
-131;-21;-79;-364;-432;-50;-73;-298;17;-213;
-48;-85;-200;82;-446;-9;-24;-165;-1;-356;
95;40;-20;-840;-14;-512;-218;-524;785;-214;
-208;8;-116;-85;-29;-1;215;-233;53;-329;
-53;-269;42;-52;705;-18;-880;40;-268;-151;
134;2;-343;-796;-16;-33;-64;-128;-37;331;
291;1;-186;-170;-222;897;-102;-148;61;-79;
44;-33;-23;-478;183;0;-18;-38;-0;58;
-230;-5;-687;-686;-402;-430;-405;-279;-167;-99;
-477;48;-330;186;-636;-136;-561;-144;-0;-121;
-97;475;-47;-3;-485;-80;-751;184;-20;8;
-70;-12;-73;-44;-35;-85;-2;-6;18;-1;
95;-18;36;37;-66;-43;142;-56;-34;349;
-52;-24;31;-11;-767;-227;-104;-363;-397;-179;
-226;146;-717;-157;-197;-225;-59;-79;-143;-29;
-71;-67;-189;5;-198;-348;-112;1;-213;-147;
-324;-211;3;-154;378;-170;-19;-10;-87;-83;
-58;-258;-522;-134;-15;-259;-348;-182;-930;-250;
-73;492;-167;-571;-9;615;-121;-124;-19;992;
-125;-117;-156;-144;-493;-11;-443;-150;-264;-2;
128;5;-502;-35;63;0;64;-56;24;183;
72;-2;-13;-54;-0;33;226;-67;299;73;
-269;379;185;0;129;-126;-48;-360;299;-370;
-236;62;-130;-142;-157;-122;3;19;0;-144;
93;-128;193;-163;-14;-22;-58;0;-231;-346;
219;-724;-82;-36;0;-366;-48;289;96;20;
-6;206;-339;0;-739;-618;-185;-12;87;-165;
-191;-135;-139;-119;-103;0;16;12;308;84;
-53;-188;-376;27;-433;190;182;-36;25;-441;
0;87;-32;58;37;0;-89;215;-413;-106;
-407;-80;-71;-14;-102;-9;-16;174;37;-171;
223;-94;-875;-347;2;-847;-0;-250;27;-359;
-89;134;-42;-268;-133;-147;36;-88;-94;34;
113;91;-182;-91;0;-5;-64;-63;116;219;
33;-213;-9;34;-174;-82;440;-104;-172;-171;
-119;107;293;139;-251;101;-85;-64;-112;11;
-19;-127;-68;-228;-320;122;86;-43;26;-342;
162;55;-389;-59;88;-251;-226;56;38;77;
-197;-262;-3;-854;1;-39;-145;-126;-54;-2;
-57;-100;115;288;0;-321;-45;-134;-147;-146;
246;193;-375;-847;-6;65;171;-90;0;218;
-317;208;21;-58;-877;4;532;-8;-59;31;
74;3;-241;-56;-11;-14;-127;-70;75;182;
758;-36;-670;-664;456;-426;93;-684;-54;14;
-79;-68;-33;-628;-25;-5;-40;-118;4;27;
-152;-80;-118;-895;-117;-112;-415;-54;-9;397;
-433;-89;-222;-157;15;-36;18;-86;16;-64;
30;-747;70;-167;-197;-1;68;-83;-694;27;
94;-258;-527;-302;92;-524;105;-163;-6;-35;
311;473;-20;-363;-99;-360;349;404;-134;41;
-379;105;94;-290;-0;-17;389;-100;-114;-16;
453;-94;0;-96;-260;-184;0;-35;-142;42;
13;131;-147;14;-80;-802;101;-19;0;-59;
-171;8;114;-335;500;-103;214;-277;-13;-8;
137;0;-164;-224;210;-266;-943;211;5;46;
40;-334;-523;-801;-184;-324;18;-123;-95;794;
0;44;-456;-44;0;-10;-457;-24;-22;-73;
-422;-915;-25;20;-7;-55;-24;-103;75;13;
-58;-171;26;-131;-138;0;-11;880;-228;-21;
76;-28;0;-6;-116;-145;172;48;-1;-69;
-513;21;-3;-69;-81;0;84;85;-55;-80;
279;-52;174;-268;68;332;69;-155;215;-148;
-574;-356;-11;-124;-2;9;-64;-0;210;14;
0;-166;0;27;-168;-59;-69;-229;136;-68;
-88;-35;-271;126;-302;0;-31;-54;111;-145;
Symulacja
